"title","share_title","share_description","content"
"Stephanie Kakris","","","5天吸引力冥想课程是由Stephanie Kakris老师研发制作。作为一名心理学教练，她将吸引力原理运用到冥想课程中，致力于帮助人们发挥潜能，充分地展示个人魅力。

课程主讲：Stephanie Kakris（澳大利亚）

课程引导：Stella
"
"学生减压冥想","学生减压冥想","适度放松更有利于学习","适度放松更有利于学习

帮助你在考试前释放紧张感，在课堂上更加专注，寻找到学习与休息之间的平衡点。"
"慈心疗愈冥想","慈心疗愈冥想","你怎么对待世界，世界就怎样回报你。用慈心看待世界，更温柔的对待生活。","向他人传递幸福和善意

慈心冥想改变了人们对待生活的方式，使人们能更好地抵御抑郁症，变得对生活更加满意。"
"工作冥想","工作冥想","提升职场专注力，让工作事半功倍。","让工作变得轻松无压力。在工作中，我们要学会利用间歇时间冥想放松，调整负面情绪，提升专注度，让工作不再是我们的负担。"
"行走冥想","行禅冥想","行走在自然之中，用脚步丈量内心，感受双脚与大地的触感。让呼吸与行走融为一体。","行走在自然之中，用脚步丈量内心，感受双脚与大地的触感。让呼吸与行走融为一体。对自己的每一个步子，保持觉察。

在日常生活的走路过程中、上下班路上、饭后散步，都是练习行走冥想的好机会。"
"每时每刻 正念生活","","","随时随地感受当下的自在

如月老师将带领大家，在一天中的不同时刻，以及旅行途中，释放内在压力，感受当下每一刻的轻松自在。"
"玛吉薇蒳","","","玛吉薇蒳<缓解压力 放松身心>北京体验课，课后复习音频，每日练习，温故知新。"
"如月","","","如月老师为北京体验课录制的课后练习课程，大家可以随时温习，获取新知。"
"Stella","","","Stella老师北京体验课练习音频，跟随她学习如何感知情绪，掌控情绪。"
"乘车冥想","乘车冥想","乘车必备冥想，让零散时间也能发挥价值。","我们每天都要花费很多时间在等车坐车上，不如戴上耳机，把时间交给一段冥想，或许会有不一样的路途体验。"
"缓解家庭矛盾冥想","缓解家庭矛盾冥想","帮你学习如何解决家庭问题，建立温馨和谐的家庭关系。","生活中我们常会遇到一个棘手的问题，那就是如何处理家庭关系，这套练习将帮你学习如何解决它。"
"新年冥想","新年冥想","在新的一年，试着放下过去，感恩成长与拥有。","过年，既是跟家人的团聚时刻，也是对自己过去一年总结，新一年展望，最好的时机。"
"做情绪的主人","做情绪的主人","学会倾听自己的情绪，转变为情绪的主人。","情绪，就像我们内在的一个小孩，我们总是在与它的叛逆对抗，效果却适得其反，究竟该如何与它相处？"
"职场中的冥想练习","职场中的冥想练习","提升职场工作效率，轻松自如应对工作压力。","正念对于提升职场人的工作效率，轻松自如地应对工作压力，起到很积极的正面引导作用。"
"聆听内心的声音","聆听内心的声音","让大脑得到喘息的机会，去聆听自己内心的声音。","我们习惯沉浸于头脑的思考和权衡，却往往陷落在困惑和纠结的泥潭。是时候让我们自己慢下来了，让大脑得到喘息的机会，去聆听自己内心的声音。"
"儿童专注力正念冥想","儿童专注力正念冥想","有效提升孩子专注力、同理心、好奇心，更能显著提升孩子的学习成绩和情商。","本专辑由幸福知道创始人，积极心理顾问 Helen Yan打造，此专辑将帮助孩子在轻松有趣的正念练习中，逐步提升专注力，度过自信而快乐的童年时光。"
"高考冥想","高考冥想","高考生和家长必备的高考冥想，助力高考超水平发挥。为考生和家长树立健康心态，轻松应对高考。","高考生和家长必备的高考冥想，助力高考超水平发挥。为考生和家长树立健康心态，轻松应对高考。"
"30天缓解抑郁冥想","30天缓解抑郁冥想","如果你正处于抑郁情绪中，试试听它，我们一起走出阴霾，轻松生活。","不论你是正处于抑郁情绪中，还是抑郁症患者，都希望你能坚持练习，我们一起走出阴霾，轻松生活。"
"金颖","","","每种不同的颜色都有着独特的能力和疗愈之光，金颖老师将引导你，在光的世界中安抚、疗愈与蜕变。"
"正念减肥","","","通过学习正念，你会清晰地感受到这个练习，是如何帮助你控制体重的。"
"7天改善睡眠冥想","7天改善睡眠冥想","7个睡前放松技巧，为睡眠创造良好条件。","<改善睡眠冥>想让我们通过觉察、观照，变得有意识，了解自己在干嘛。学会专心的睡觉，而不是疲惫不堪的入睡。"
"八型自愈安眠","八型自愈安眠","失眠也分类型！找到你的失眠类型才是拥有好睡眠的关键。","八型自愈安眠是由书含老师特别打造，特别设计给那些暂时遇到一些睡眠问题的朋友们。失眠，并不可怕，它不过是一种提醒。提醒我们太久不关心内在的自己。"
"书含","","","八型自愈安眠课程是由书含老师特别打造，特别设计给那些暂时遇到一些睡眠问题的朋友们。失眠，并不可怕，它不过是一种提醒。提醒我们太久不关心内在的自己。"
"轻松助眠冥想","轻松助眠冥想","如果你也有睡眠问题，听它就够了。","玛吉薇蒳<缓解压力 放松身心>北京体验复习音频，每日练习，温故知新。"
"MBSR正念减压音频练习","台湾正念减压督导温宗堃精心打造正念核心练习","帮助我们培育一份广大的慈爱之心，真正地拥抱生活。","本专辑为台湾正念督导温宗堃原创。慈心的练习可以帮助我们有意地培育一份广大的慈爱之心，真正地拥抱生活。"
"睡眠纯音乐","你需要的专业睡眠纯音乐","在Michael Denny创作的声音中安睡一整晚","本睡眠音乐专辑由迈克尔•丹尼（Michael Denny）创作。
迈克尔是一位风格多变的作曲家、音乐制作人、声音设计师和多乐器演奏家。他曾为电视台、app及线上、线下演出等诸多媒体创作过风格迥异的音乐作品。迈克尔喜欢演奏各种乐器，许多音乐就是从钢琴和吉他演奏中产生灵感而写出来的。"
"孕期冥想","孕期冥想","帮助准妈妈保持心神安定，给宝宝一个安静祥和的发育环境，造就宝宝良好性格。","正念冥想可以帮助准妈妈保持心神安定，加强与宝宝之间的沟通，让准妈妈以平静、祥和的心态度过短暂而难忘的十个月。"
"21天进阶冥想","21天进阶冥想","由易到难进阶冥想达人，无论你是正念初学者还是进阶者，都可以从中获得启发，收获智慧。","首先从感官和声音开始，再到思绪和想法，让你充分了解大脑的工作方式，逐步培养一颗不评判的心。"
"勇敢者游戏第一季","勇敢者游戏第一季","帮你发现自己的勇气和力量，拿回属于你的快乐生活。","教你理解焦虑以及分辨焦虑的谎言，发现自己的勇气和力量。最重要的但不是唯一的一点是，它陪你一起带着焦虑成长，拿回属于你的快乐生活。"
"放松纯音乐","放松纯音乐","国际音乐大师Michael Denny精心打造减压放松音乐，帮你缓解身心焦虑，舒心一整天。","本放松音乐专辑由迈克尔•丹尼（Michael Denny）创作。
迈克尔是一位风格多变的作曲家、音乐制作人、声音设计师和多乐器演奏家。他曾为电视台、app及线上、线下演出等诸多媒体创作过风格迥异的音乐作品。迈克尔喜欢演奏各种乐器，许多音乐就是从钢琴和吉他演奏中产生灵感而写出来的。"
"迷你冥想","迷你冥想","每天利用片刻时间来冥想，给你的生活带来不可思议的改变！","如果你擅于利用时间，片刻时间也可以给你的生活带来巨变。Now推出1-3分钟冥想练习，帮助你在片刻之间，享受放松宁静。"
"21天提升幸福感","21天提升幸福感","最适合都市人的课程，跟随奥南朵，寻找幸福的密码。","<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7d69b18eb4.jpg""  />"
"正念健康管理","正念健康管理","提升生活品质，培养内心深处疗愈力","该系列由鲍勃·斯特尔（Bob Stahl, PhD）创作。Bob正念减压督导，在帮助残障、慢性疼痛、重绝症或高压人群方面拥有丰富的经验。该正念健康管理系列，能够帮助世界各地的人们应对生活的挑战，改善睡眠、缓解疼痛、压力和疾病。"
"Bob Stahl","","","该系列课由鲍勃·斯特尔博士（Bob Stahl, PhD）创作。Bob正念减压导师，在帮助残障、慢性疼痛、重绝症或高压人群方面拥有丰富的经验。"
"专注力纯音乐","专注力纯音乐","成功始于专注。快跟着Michael Denny的脚步一起提升专注力吧。","本专注音乐专辑由迈克尔•丹尼（Michael Denny）创作。
迈克尔是一位风格多变的作曲家、音乐制作人、声音设计师和多乐器演奏家。他曾为电视台、app及线上、线下演出等诸多媒体创作过风格迥异的音乐作品。迈克尔喜欢演奏各种乐器，许多音乐就是从钢琴和吉他演奏中产生灵感而写出来的。他将世界各地的合成音乐与各种乐器取样的声音以及大自然声音结合在一起，营造一个全新的音乐氛围。"
"世界奇境之旅","","","生活不止眼前的忙碌，跟随这些大自然声音，一起跨越山海，领略绝美世界风光。"
"勇敢者游戏第二季","勇敢者游戏第二季","教你如何正确面对负面情绪，拿回属于你的快乐生活","教你理解焦虑以及分辨焦虑的谎言，发现自己的勇气和力量。最重要的但不是唯一的一点是，它陪你一起带着焦虑成长，拿回属于你的快乐生活。(陆续更新)"
"七天幸福冥想","","","本课旨在运用正念的力量，调节思绪、清理杂念，通过七天循序渐进的练习，感受当下，配合专属打造的的轻音乐，提升我们的幸福指数。"
"父母是孩子天生的催眠师","父母是孩子天生的催眠师","父母的远见，孩子一生之福","<img src=""https://resource.navoinfo.cn/Now/jp/jiligen/pic_01.jpg"" style=""width:100%"" />
<img src=""https://resource.navoinfo.cn/Now/jp/jiligen/pic_02.jpg"" style=""width:100%"" />
<img src=""https://resource.navoinfo.cn/Now/jp/jiligen/pic_03.jpg"" style=""width:100%"" />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b65b01481.jpg"" style=""width:100%"" />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b68c58fe3.jpg"" style=""width:100%""  />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b6bc3d874.jpg"" style=""width:100%""  />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b6dcd0310.jpg"" style=""width:100%""  />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b70397b09.jpg"" style=""width:100%""  />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b73aa0767.jpg"" style=""width:100%""  />"
"自控力冥想","自控力冥想","提升自控力，做自己的主人","自控力是所有人格魅力的基础。懂得自控的人会更加成功和幸福。本系列由Now团队打造慈音录音引导，该课程将教你如何在生活中更加自律更接近想要的自己。"
"散步冥想","散步冥想","给大脑按一个放空的暂停键","本音频由杰森·史蒂芬森精心打造。一心走路时，你为整个世界打开了一个门，使你和周围的环境能够融为一体，世界顿然安静平和，简单却充满了惊喜。"
"正念饮食","正念饮食","每个人必修的饮食冥想练习","本专辑由杰森·史蒂芬森精心打造。全身心地投入到整个进食过程，建立身体、内心、感官与食物的关系。激发饮食带给我们的快乐、慈悲和满足。"
"站立冥想","站立冥想","站立也冥想，专注在当下","本课程由杰森·史蒂芬森精心打造。双脚稳稳地踩在大地上，带着觉知，使自己与大地联接得更为深刻紧密。内心的喜悦、祥和就在当下发生。"
"洗碗冥想","洗碗冥想","颠覆你的认知，洗碗也能变得妙不可言","本课程由杰森·史蒂芬森精心打造。专注当下，边洗碗边体会，它不是枯燥乏味的家务活，你可以体会到平静的愉悦感和满足感。"
"Jason Stephenson","","","本课程由杰森·史蒂芬森精心打造。杰森·史蒂芬森是澳大利亚 Relax Me Online 和 Meditation Masters TV 创始人，在冥想、放松疗愈领域拥有超过15年经验。"
"10天放松冥想","10天放松冥想","是时候给身心放一次假期了","本专辑由琳达·霍尔（Linda Hall）创作。通过简单、科学有效的冥想和身心健康练习，教你如何保护自己免受日常压力，全面提升精神和情感福祉，得到心灵满足。"
"Linda Hall","","","本课程由Linda Hall精心打造。这个课程通过最简单、科学有效的冥想和身心健康练习，将教你如何保护自己免受日常压力影响，全面提升精神和情感福祉，得到心灵满足。"
"提升自信","提升自信","帮助你重拾自信，焕发生命活力","本专辑由Stephanie Kakris根据线上视频倾力打造。希望专辑中的实用技巧、真实案例和冥想练习能成为激励你的良药，帮助你重拾自信，焕发生命活力！"
"7天正念沟通","7天正念沟通","帮你学会更好与人沟通，提升情绪智商。","沟通意味着能量的流动，是一种心的联合。这个系列的正念练习旨在培养更好的沟通能力。"
"与孤独相处","与孤独相处","你对待孤独的方式，决定了你对待自我的方式。","现代人往往无法忍受孤独，总是通过各种工作场合、社会场合来感知自我的存在。本系列旨在帮助大家学会与孤独相处，学会与自己相处。"
"生活之声","","","本专辑收录了生活中常见的天然白噪音。在喧嚣浮华中寻找到内心的宁静。不脱离日常生活，但更有生活。"
"8天正念精进冥想","8天正念精进冥想","把冥想带进生活点滴，你会收获完全不一样的人生状态。","本专辑为美国正念冥想领军人物 Shinzen Young潜心力作，教你全面系统地打破身心压力模式，重新掌控你的健康与幸福。"
"Shinzen Young","","","美国正念静修大师，已出版“Break Through Pain""《突破疼痛》；“Emotional Healing through Mindfulness Meditation""《改善情绪的正念疗法》等冥想类畅销书籍"
"色彩能量冥想","色彩能量冥想","在光的世界中安抚、疗愈与蜕变","每种不同的颜色都有着独特的能力和疗愈之光，金颖老师将引导你，在光的世界中安抚、疗愈与蜕变。"
"波浪般的情绪","波浪般的情绪","感知情绪的变化，学着与各种情绪和平相处。","Stella北京体验工作坊练习音频，跟随她学习如何感知情绪，智慧对待情绪。"
"清理负面情绪","清理负面情绪","走出负面情绪影响，做自己情绪的主人","如月为北京体验坊录制的练习音频，大家可以随时温习，获取新知。"
"助眠核心练习","助眠核心练习","拥有好睡眠，从这里开始","Matt Young专业打造。多个场景下轻松愉快的冥想练习，一步步引导你放松身心、平息思绪、缓解焦虑，让你逐渐养成良好的睡眠习惯。"
"Matt Young","","","本课程由澳大利亚正念导师Matt Young专业打造。多个场景下轻松愉快的冥想练习，一步步引导你放松身心、平息思绪、缓解焦虑，让你逐渐养成良好的睡眠习惯。"
"减压纯音乐","减压纯音乐","专为压力大人群量身定制，找回生活的乐趣","本减压音乐专辑由迈克尔•丹尼（Michael Denny）创作。
迈克尔是一位风格多变的作曲家、音乐制作人、声音设计师和多乐器演奏家。他曾为电视台、app及线上、线下演出等诸多媒体创作过风格迥异的音乐作品。"
"轻松人际关系","轻松人际关系","轻松掌握人际关系技巧，告别社交恐惧症。","本练习由Andy Hobson倾心打造，包含“认识自我”和“有意识的社交”两部分，各10节课。让你多出一双眼睛，看到人际关系中不一样的可能，然后有意识、有目的地采取行动，解决问题，关系就可以蓬勃发展。"
"30天正念训练冥想","30天正念训练冥想","重新连结属于自己内心的智慧，把丢失的能力找回来","30天高品质正念练习，4阶段阶梯式练习，胡婷婷老师带领你由外而内，由浅入深地了解自己，懂得自己，重新连结属于自己内心的智慧。"
"张德芬心灵成长专辑","张德芬心灵成长专辑","专为女性设计，深入感受七种内在力量","<img src=""https://resource.navoinfo.cn/Now/jp/zhangdefen/pic_001.jpg"" style=""width:100%"" alt="""" />
<img src=""https://resource.navoinfo.cn/Now/jp/zhangdefen/pic_002.jpg"" style=""width:100%"" alt="""" />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b0e9d73be.jpg"" style=""width:100%"" alt="""" />
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b1161e785.jpg"" style=""width:100%"" alt="""" />
<img src=""https://resource.navoinfo.cn/Now/jp/zhangdefen/pic_05(1).jpg"" style=""width:100%"" alt="""" />"
"7天生命原力冥想","7天生命原力冥想","这，是一个格外考验人能否静心的时代。拥有静心的能力才是这个时代我们必须掌握的技能。","新的一年，用正念治愈自己，唤醒你心中本有的原力和光明。"
"水晶钵冥想","水晶钵冥想","在冥想中感受平静，把爱带给自己，与自己和解。","在冥想中感受平静"
"视觉想象冥想","视觉想象冥想","在大自然中回归自我，探寻内在的智慧和宁静","在大自然中回归自我"
"叶武滨时间管理九段","叶武滨时间管理九段","真正的人生赢家是如何管理时间的？","<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b45285eea.png"" alt=""""  style=""width:100%"" />   
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b4708b65c.png"" alt=""""  style=""width:100%"" />   
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b48ad828d.png"" alt=""""  style=""width:100%"" />  
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b4a7dba0a.png"" alt=""""  style=""width:100%"" />  
<img src=""https://resource.navoinfo.cn/Now/jp/yixiaoneng/05.png"" alt=""""  style=""width:100%"" />  
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b4d4af330.png"" alt=""""  style=""width:100%"" /> 
<img src=""https://resource.navoinfo.cn/Now/jp/yixiaoneng/07.png"" alt=""""  style=""width:100%"" />   
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b4f41987d.png"" alt=""""  style=""width:100%"" />  
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b512e84c2.png"" alt=""""  style=""width:100%"" /> 
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b52f31efa.png"" alt=""""  style=""width:100%"" />  
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b551886e0.png"" alt=""""  style=""width:100%"" /> 
<img src=""https://resource.navoinfo.cn/Now/picture/courseImg/202201/61d7b5b510e16.png"" alt=""""  style=""width:100%"" />"
"给儿童的简单冥想","给儿童的简单冥想","专为8-11岁儿童设计，帮助孩子更快集中注意力、学会和他人相处","我们的孩子也需要掌握如何集中注意力、如何倾听、放松、如何与自己和他人相处。这个简单、有趣的正念训练课程专为8-11岁儿童设计。家长带着孩子跟随导引练习效果会更好。"
"古典冥思旋律（二）","古典冥思旋律","带你感受久违的宁静，回到快乐、爱与和谐的自然状态","擅长多种乐器的音乐家丹尼尔·埃斯帕达带来了第二个冥想音乐专辑“感受宁静”。轻柔的旋律会让你深深地感受到平静和放松，带你回到快乐、爱与和谐的自然状态。"
"静心纯音乐","静心纯音乐","听音如画，享受内心宁静","本课程由Michael Denny精心创作。一共5首，帮你唤醒内在久违的宁静、滋养，开启一个压力更少的新生活方式，重获内心的安宁。"
"自然物语","自然物语","空灵荡耳，给心灵一场治愈spa","本专辑由Michael Denny精心创作。一共5首，和万物声音一起，看蝉鸣晚风，听月明星河。"
"职场中的正念智慧","职场中的正念智慧","帮你洞悉职场之道，在职场快速成长，更高效、更快乐地工作。","这套职场冥想练习由Andy Hobson打造，通过多种实用的正念方法和技巧，让你洞悉职场之道，在职场快速成长，更高效、更快乐地工作。"
"21天断舍离冥想","21天断舍离冥想","不懂得断舍离的人，都走得不远；21天带你深层理解断舍离。","不懂得断舍离的人，都走得不远；21天带你深层理解断舍离。"
"正念妈妈","正念妈妈","找回平和状态，成就更好的孩子！","本专辑由Fleur Chambers倾心打造。献给所有伟大的妈妈们！希望妈妈们能将正念融入养育过程中，找回平和的状态，成就更好的孩子！"
"身体扫描冥想","身体扫描冥想","建立我们与身体之间的连结关系，唤醒身体的觉知，重新发现身体的美妙。","身体扫描也是正念核心练习之一。每一次的练习都是重新建立我们与身体之间的连结关系，唤醒身体的觉知，重新发现身体的美妙。"
"静坐冥想","静坐冥想","静静坐下来，把时间留给自我疗愈和滋养，和自己、和世界温柔连结。","这是一个经典的静坐冥想练习，静静坐下来，把时间留给自我疗愈和滋养，和自己、和世界温柔连结。"
"经典专注力冥想","经典专注力冥想","我们总被告诫“专心点”却没人教我们如何专心。跟随引导，一步步加深你的专注力。","我们总是被告诫要“专心点”，却没有人教会我们如何专心。别担心，这个系列就提供多种简单易行的练习，一步步加深你的专注力。"
"7天深睡眠冥想","7天帮你摆脱睡眠困扰，培养良好睡眠习惯","通过专业实用的睡眠冥想和生活技巧，教你如何在白天管理压力、照顾好身体的需要。","7天时间，摆脱睡眠困扰，培养良好睡眠习惯。"
"卵石冥想","卵石冥想","感受有趣的正念练习，运用四颗鹅卵石，培养内心美好品质。","通过正念呼吸和观想，运用四颗鹅卵石，帮助培养内心的美好品质，生活得更加幸福安宁。"
